"","NAME","N","DHONDT","YEAR","PROVINCENUM","PROVINCE"
"458","Haaranen Tarja",567,2113.25,2007,2,"UUS"
"459","Kuronen Matti",545,2028.72,2007,2,"UUS"
"460","Tanninen Timo",542,1950.692,2007,2,"UUS"
"461","Ahonala Jukka",485,1878.444,2007,2,"UUS"
"462","Hannula Markku",451,1811.357,2007,2,"UUS"
"463","Ojanen Maija",445,1748.897,2007,2,"UUS"
"464","von Essen Kristian",392,1690.6,2007,2,"UUS"
"465","Nybäck Stina",339,1636.065,2007,2,"UUS"
"466","Poutanen Pekka",328,1584.938,2007,2,"UUS"
"467","Sadiq Abid (Shakho)",314,1536.909,2007,2,"UUS"
"468","Hagerlund Tony",312,1491.706,2007,2,"UUS"
"469",NA,NA,NA,2007,2,"UUS"
"470","KD",NA,NA,2007,2,"UUS"
"471","*Tallqvist Tarja",4391,19157,2007,2,"UUS"
"472","Laukkanen Antero",2681,9578.5,2007,2,"UUS"
"473","Kokko Annika",2435,6385.667,2007,2,"UUS"
"474","Reinikainen Pekka",1740,4789.25,2007,2,"UUS"
"475","Jääskeläinen Jouko",1341,3831.4,2007,2,"UUS"
"476","Eräpolku Merja",922,3192.833,2007,2,"UUS"
"477","Sipilä Jukka",634,2736.714,2007,2,"UUS"
"478","Tuohioja Pauli",531,2394.625,2007,2,"UUS"
"479","Helenius Harri",473,2128.556,2007,2,"UUS"
"480","Mäkinen Marja-Vuokko",364,1915.7,2007,2,"UUS"
"481","Malkki Kyllikki",358,1741.545,2007,2,"UUS"
"482","Salmensaari Leena",357,1596.417,2007,2,"UUS"
"483","Andersson Niklas",348,1473.615,2007,2,"UUS"
"484","Hietakangas Tanja",273,1368.357,2007,2,"UUS"
"485","Kosonen Liisa",248,1277.133,2007,2,"UUS"
"486","Ikegwuonu Godwin",235,1197.313,2007,2,"UUS"
"487","Lehto Hannu",194,1126.882,2007,2,"UUS"
"488","Laiti Malla",190,1064.278,2007,2,"UUS"
"489","Summanen Ulla",188,1008.263,2007,2,"UUS"
"490","Warvas Sirkka",157,957.85,2007,2,"UUS"
"491","Bollström Harri",149,912.238,2007,2,"UUS"
"492","Silvander Pentti",143,870.773,2007,2,"UUS"
"493","Eneh Basil",134,832.913,2007,2,"UUS"
"494","Rasilainen Antero",126,798.208,2007,2,"UUS"
"495","Heistonen Viola",99,766.28,2007,2,"UUS"
"496","Nurmi Tuula",87,736.808,2007,2,"UUS"
"497","Kortekangas Pietari",75,709.519,2007,2,"UUS"
"498","Krogius Edward",69,684.179,2007,2,"UUS"
"499","Leino Pirjo",59,660.586,2007,2,"UUS"
"500","Pyysalo Mauri",56,638.567,2007,2,"UUS"
"501","Torro Hannu",37,617.968,2007,2,"UUS"
"502","Kiviaho Timo",30,598.656,2007,2,"UUS"
"503","Konachev Alexei",24,580.515,2007,2,"UUS"
"504","Mäenpää Saul",9,563.441,2007,2,"UUS"
"505",NA,NA,NA,2007,2,"UUS"
"506","RKP - SFP",NA,NA,2007,2,"UUS"
"507","*Blomqvist Thomas",7280,44418,2007,2,"UUS"
"508","*Gestrin Christina",6402,22209,2007,2,"UUS"
"509","*Nylander Mikaela",4825,14806,2007,2,"UUS"
"510","Liljeström Christel",4403,11104.5,2007,2,"UUS"
"511","Johansson Ulf",3474,8883.6,2007,2,"UUS"
"512","Harms-Aalto Martina",2372,7403,2007,2,"UUS"
"513","Bäcklund Stig",1772,6345.429,2007,2,"UUS"
"514","Haglund Carl (Calle)",1303,5552.25,2007,2,"UUS"
"515","Oker-Blom Jan Didrik",1090,4935.333,2007,2,"UUS"
"516","Stambej Kenneth",1001,4441.8,2007,2,"UUS"
"517","Malmberg Martina",929,4038,2007,2,"UUS"
"518","Åberg Gustaf",907,3701.5,2007,2,"UUS"
"519","Molander Pontus",816,3416.769,2007,2,"UUS"
"520","Allen Marie",777,3172.714,2007,2,"UUS"
"521","Berg Finn",751,2961.2,2007,2,"UUS"
"522","Österlund Markus",715,2776.125,2007,2,"UUS"
"523","Karlsson Patrik",557,2612.824,2007,2,"UUS"
"524","Wickström Fredrika",479,2467.667,2007,2,"UUS"
"525","Öhman Sten",450,2337.789,2007,2,"UUS"
"526","Karlsson-Finne Anna Lena",415,2220.9,2007,2,"UUS"
"527","Moring Monica",411,2115.143,2007,2,"UUS"
"528","Grandell Rolf",323,2019,2007,2,"UUS"
"529","Stormbom Lars",322,1931.217,2007,2,"UUS"
"530","Grandin Alexander",304,1850.75,2007,2,"UUS"
"531","Grundström Ove",293,1776.72,2007,2,"UUS"
"532","Kujala Tiina",289,1708.385,2007,2,"UUS"
"533","Rouhiainen Asko",262,1645.111,2007,2,"UUS"
"534","Österholm Minna",250,1586.357,2007,2,"UUS"
"535","Meriheinä Thérèse",241,1531.655,2007,2,"UUS"
"536","Skog Stefan",231,1480.6,2007,2,"UUS"
"537","Rosenberg Thomas",229,1432.839,2007,2,"UUS"
"538","Granroth Niklas",200,1388.063,2007,2,"UUS"
"539","Guenzel-Enberg Tatiana (Tanja)",175,1346,2007,2,"UUS"
"540","Heikel-Nyberg Monica",170,1306.412,2007,2,"UUS"
"541",NA,NA,NA,2007,2,"UUS"
"542","PS - SAF",NA,NA,2007,2,"UUS"
"543","*Soini Timo",19859,28593,2007,2,"UUS"
"544","*Ruohonen-Lerner Pirkko",1058,14296.5,2007,2,"UUS"
"545","Jääskeläinen Pietari",796,9531,2007,2,"UUS"
"546","Lahtinen Teemu",699,7148.25,2007,2,"UUS"
"547","Pihlman Marjo",405,5718.6,2007,2,"UUS"
"548","Hakala Heimo",354,4765.5,2007,2,"UUS"
"549","Salonen Pasi",349,4084.714,2007,2,"UUS"
"550","Tala Heikki",334,3177,2007,2,"UUS"
"551","Haataja Seija",320,2859.3,2007,2,"UUS"
"552","Perälahti Raimo",305,2599.364,2007,2,"UUS"
"553","Korpi Jarkko",271,2382.75,2007,2,"UUS"
"554","Manninen Anneli",241,2199.462,2007,2,"UUS"
"555","Falzon Petri",239,2042.357,2007,2,"UUS"
"556","Lehto Saana",236,1906.2,2007,2,"UUS"
"557","Nuorteva-Hakoniemi Ilona",236,1787.063,2007,2,"UUS"
"558","Ylimutka Kalle",232,1681.941,2007,2,"UUS"
"559","Männistö Niina",212,1588.5,2007,2,"UUS"
"560","Siukola Jaana",212,1504.895,2007,2,"UUS"
"561","Hiltula Henry",201,1429.65,2007,2,"UUS"
"562","Vaskela Jyrki",195,1361.571,2007,2,"UUS"
"563","Oz Lasse",187,1299.682,2007,2,"UUS"
"564","Sinisalo Pekka",180,1243.174,2007,2,"UUS"
"565","Petäjäjärvi Teijo",163,1191.375,2007,2,"UUS"
"566","Jokinen Jarko",125,1059,2007,2,"UUS"
"567","Puisto Raimo",125,1021.179,2007,2,"UUS"
"568","Luttinen Pauli Artturi",103,985.966,2007,2,"UUS"
"569","Helin-Savolainen Inga",87,953.1,2007,2,"UUS"
"570","Mikkanen Heimo",84,922.355,2007,2,"UUS"
"571","Tykkyläinen Heikki",38,840.971,2007,2,"UUS"
"572",NA,NA,NA,2007,2,"UUS"
"573","SKP - FKP",NA,NA,2007,2,"UUS"
"574","Björklöf Peter",159,2103,2007,2,"UUS"
"575","Viitaniemi Arto",159,1051.5,2007,2,"UUS"
"576","Suonperä Arjo",135,701,2007,2,"UUS"
"577","Savela Olli",126,525.75,2007,2,"UUS"
"578","Juutilainen Pirjo",101,420.6,2007,2,"UUS"
"579","Pelttari Tanja",97,350.5,2007,2,"UUS"
"580","Aho Rauni",87,300.429,2007,2,"UUS"
"581","Rossi Matti",87,262.875,2007,2,"UUS"
"582","Salo Annika",87,233.667,2007,2,"UUS"
"583","Nurminen Eeva",83,210.3,2007,2,"UUS"
"584","Perä Mauri",72,191.182,2007,2,"UUS"
"585","Huldén Lena",60,175.25,2007,2,"UUS"
"586","Nurminen Pentti",60,161.769,2007,2,"UUS"
"587","Welin Anja",59,150.214,2007,2,"UUS"
"588","Saarinen Seppo",57,140.2,2007,2,"UUS"
"589","Kovanen Juha",56,131.438,2007,2,"UUS"
"590","Lievemaa Tommi",54,123.706,2007,2,"UUS"
"591","Hautala Irma",50,116.833,2007,2,"UUS"
"592","Mukkala Jarmo",48,110.684,2007,2,"UUS"
"593","Kurtti Kaarlo",47,105.15,2007,2,"UUS"
"594","Zaki Soran",47,100.143,2007,2,"UUS"
"595","Kopiloff Igor",46,95.591,2007,2,"UUS"
"596","Asikainen Onni",43,91.435,2007,2,"UUS"
"597","Storm Eira",40,87.625,2007,2,"UUS"
"598","Väisänen Hannu",40,84.12,2007,2,"UUS"
"599","Leskinen Ville",38,80.885,2007,2,"UUS"
"600","Zhang Jian",36,77.889,2007,2,"UUS"
"601","Tossavainen Reijo",34,75.107,2007,2,"UUS"
"602","Huldén Larry",30,72.517,2007,2,"UUS"
"603","Manner Hannele",29,70.1,2007,2,"UUS"
"604","Harjunpää Seppo",25,67.839,2007,2,"UUS"
"605","Storm Pentti",11,65.719,2007,2,"UUS"
"606",NA,NA,NA,2007,2,"UUS"
"607","SSP",NA,NA,2007,2,"UUS"
"608","Pekkarinen Ritva",336,1066,2007,2,"UUS"
"609","Koivisto Marianne",249,533,2007,2,"UUS"
"610","Lehtonen Maija",230,355.333,2007,2,"UUS"
"611","Niemi Riitta",193,266.5,2007,2,"UUS"
"612","Lepola Kaija",58,213.2,2007,2,"UUS"
"613",NA,NA,NA,2007,2,"UUS"
"614","IP",NA,NA,2007,2,"UUS"
"615","Hakalehto Ilkka",343,3574.125,2007,2,"UUS"
"616","Kulmala Mikko",161,1143.72,2007,2,"UUS"
"617","Ojapelto Ari",134,1099.731,2007,2,"UUS"
"618","Jokinen Anita",66,893.531,2007,2,"UUS"
"619","Lahtiluoma Teppo",43,866.455,2007,2,"UUS"
"620",NA,NA,NA,2007,2,"UUS"
"621","LIB",NA,NA,2007,2,"UUS"
"622","Siivonen Jaakko",79,295,2007,2,"UUS"
"623","Mattinen Harri",68,147.5,2007,2,"UUS"
"624","Liebkind Sam",53,98.333,2007,2,"UUS"
"625","Syrjänen Heikki",50,73.75,2007,2,"UUS"
"626","Perälä Sami",45,59,2007,2,"UUS"
"627",NA,NA,NA,2007,2,"UUS"
"628","KA",NA,NA,2007,2,"UUS"
"629","Kyyrö Marja",294,802,2007,2,"UUS"
"630","Parkkinen Tiina",219,401,2007,2,"UUS"
"631","Wulf Birgitta",178,267.333,2007,2,"UUS"
"632","Saraste Heikki",111,200.5,2007,2,"UUS"
"633",NA,NA,NA,2007,2,"UUS"
"634","KTP - KAP",NA,NA,2007,2,"UUS"
"635","Tuominen Hannu",100,528,2007,2,"UUS"
"636","Harju Hannu",97,264,2007,2,"UUS"
"637","Elo Pia",60,176,2007,2,"UUS"
"638","Elo Tiina",46,132,2007,2,"UUS"
"639","Vesterinen Bertta",45,105.6,2007,2,"UUS"
"640","Salmi Keijo",43,88,2007,2,"UUS"
"641","Välimaa Reino",42,75.429,2007,2,"UUS"
"642","Meriläinen Otto",26,66,2007,2,"UUS"
"643","Karjalainen Marko",25,58.667,2007,2,"UUS"
"644","Karppanen Aarno",22,52.8,2007,2,"UUS"
"645","Lahti Reino",22,48,2007,2,"UUS"
"646",NA,NA,NA,2007,2,"UUS"
"647","STP - FAP",NA,NA,2007,2,"UUS"
"648","Koivisto Esko",60,239,2007,2,"UUS"
"649","Nevalainen Jouko",56,119.5,2007,2,"UUS"
"650","Kautto Hannu",47,79.667,2007,2,"UUS"
"651","Wahrman Kalevi",33,59.75,2007,2,"UUS"
"652","Nieminen Timo",24,47.8,2007,2,"UUS"
"653","Muilu Jaakko",19,39.833,2007,2,"UUS"
"654",NA,NA,NA,2007,2,"UUS"
"655","SIK",NA,NA,2007,2,"UUS"
"656","Järviharju Matti",369,369,2007,2,"UUS"
"657",NA,NA,NA,2007,2,"UUS"
"658","MUUT EI PUOLUEET - ÖVRIGA - OTHERS",NA,NA,2007,2,"UUS"
"659","Varmavuori Marjaana",162,271,2007,2,"UUS"
"660","Varmavuori Marissa",109,135.5,2007,2,"UUS"
"661","Heiskala Antti",100,142,2007,2,"UUS"
"662","Osmala Olli-Pekka",42,71,2007,2,"UUS"
"663",NA,NA,NA,2007,2,"UUS"
"664",NA,NA,NA,2007,2,"UUS"
"665","VARSINAIS-SUOMI - EGENTLIGA FINLAND",NA,NA,2007,3,"VAR"
"666",NA,NA,NA,2007,3,"VAR"
"667","KESK - CENT",NA,NA,2007,3,"VAR"
"668","*Kaunisto Timo",7213,25989.5,2007,3,"VAR"
"669","*Kiviranta Esko",6210,17326.333,2007,3,"VAR"
"670","*Hyssälä Liisa",6152,12994.75,2007,3,"VAR"
"671","Salo Mauri",4877,10395.8,2007,3,"VAR"
"672","Seppänen Tytti",3022,8663.167,2007,3,"VAR"
"673","Ek-Marjamäki Teija",2522,7425.571,2007,3,"VAR"
"674","Pölönen Päivi",1893,6497.375,2007,3,"VAR"
"675","Koivisto Anna-Liisa",1766,5775.444,2007,3,"VAR"
"676","Jussilainen Pentti",1373,5197.9,2007,3,"VAR"
"677","Karjalainen Riitta",901,4725.364,2007,3,"VAR"
"678","Mwegerano Andi",851,4331.583,2007,3,"VAR"
"679","Holmberg Niklas",760,3998.385,2007,3,"VAR"
"680","Uotila Pia",609,3465.267,2007,3,"VAR"
"681","Määttänen Pekka",461,3057.588,2007,3,"VAR"
"682",NA,NA,NA,2007,3,"VAR"
"683","KOK  - SAML",NA,NA,2007,3,"VAR"
"684","*Kanerva Ilkka",11079,66793,2007,3,"VAR"
"685","*Virolainen Anne-Mari",6812,33396.5,2007,3,"VAR"
"686","*Hemmilä Pertti",6188,22264.333,2007,3,"VAR"
"687","*Orpo Petteri",6069,16698.25,2007,3,"VAR"
"688","*Laxell Jouko",5056,13358.6,2007,3,"VAR"
"689","Huovinen Pentti",4700,11132.167,2007,3,"VAR"
"690","Perho Maija",4602,9541.857,2007,3,"VAR"
"691","Karttunen Marjukka",3918,8349.125,2007,3,"VAR"
"692","Hartiala Kaija",3630,7421.444,2007,3,"VAR"
"693","Randell Aleksi",2722,6679.3,2007,3,"VAR"
"694","Schrey Matti",2542,6072.091,2007,3,"VAR"
"695","Vainio Anna",2384,5566.083,2007,3,"VAR"
"696","Salminen Pauli",2227,5137.923,2007,3,"VAR"
"697","Rantanen Matti",1857,4770.929,2007,3,"VAR"
"698","Hollmén Kimmo",1209,4452.867,2007,3,"VAR"
"699","Rantalaiho Anneli",903,4174.563,2007,3,"VAR"
"700","Ellä Anne",895,3929,2007,3,"VAR"
"701",NA,NA,NA,2007,3,"VAR"
"702","SDP",NA,NA,2007,3,"VAR"
"703","*Paasio Heli",11233,53281,2007,3,"VAR"
"704","*Koskinen Marjaana",7649,26640.5,2007,3,"VAR"
"705","*Taimela Katja",5984,17760.333,2007,3,"VAR"
"706","*Kantola Ilkka",5091,13320.25,2007,3,"VAR"
"707","Puisto Virpa",4743,10656.2,2007,3,"VAR"
"708","Lehtinen Seppo",4716,8880.167,2007,3,"VAR"
"709","Helminen Sari",3962,7611.571,2007,3,"VAR"
"710","Eloranta Eeva-Johanna",3108,6660.125,2007,3,"VAR"
"711","Ranne Matti",1165,5920.111,2007,3,"VAR"
"712","Hellbom Eva-Stina",1014,5328.1,2007,3,"VAR"
"713","Elo Piia",1003,4843.727,2007,3,"VAR"
"714","Suominen Esa",739,4440.083,2007,3,"VAR"
"715","Lahoniitty Armas",703,4098.538,2007,3,"VAR"
"716","Sorsa Leila",620,3805.786,2007,3,"VAR"
"717","Mäkelä Kari",551,3552.067,2007,3,"VAR"
"718","Ilola Mia",503,3330.063,2007,3,"VAR"
"719","Lindfors Marja",497,3134.176,2007,3,"VAR"
"720",NA,NA,NA,2007,3,"VAR"
"721","VAS - VÄNST - LEFT",NA,NA,2007,3,"VAR"
"722","*Lapintie Annika",5575,25937,2007,3,"VAR"
"723","*Yrttiaho Jyrki",4492,12968.5,2007,3,"VAR"
"724","Immonen Mikko",4113,8645.667,2007,3,"VAR"
"725","Rasi Jarmo",1681,6484.25,2007,3,"VAR"
"726","Söderlund Nina",1584,5187.4,2007,3,"VAR"
"727","Rajamäki Ari",1265,4322.833,2007,3,"VAR"
"728","Kärkkäinen Jukka",1131,3705.286,2007,3,"VAR"
"729","Rinne Pirjo",1072,3242.125,2007,3,"VAR"
"730","Korpelainen Nana",1065,2881.889,2007,3,"VAR"
"731","Muukkonen Mirka",723,2593.7,2007,3,"VAR"
"732","Lasarov Kiira",695,2357.909,2007,3,"VAR"
"733","Nieminen Raimo",668,2161.417,2007,3,"VAR"
"734","Honkanen Arto",559,1995.154,2007,3,"VAR"
"735","Karvonen Annika",422,1852.643,2007,3,"VAR"
"736","Kapanen Matti",420,1729.133,2007,3,"VAR"
"737","Kallio Pentti",244,1621.063,2007,3,"VAR"
"738","Lindén Jarmo",228,1525.706,2007,3,"VAR"
"739",NA,NA,NA,2007,3,"VAR"
"740","VIHR - GRÖNA - GREENS",NA,NA,2007,3,"VAR"
"741","*Andersson Janina",5587,22868,2007,3,"VAR"
"742","*Niinistö Ville",5182,11434,2007,3,"VAR"
"743","Rantanen Elina",2235,7622.667,2007,3,"VAR"
"744","Sulkakoski Liisa",2207,5717,2007,3,"VAR"
"745","Antikainen Monika",1522,4573.6,2007,3,"VAR"
"746","Sarlund Katri",1015,3811.333,2007,3,"VAR"
"747","Wallasvaara Martti",760,3266.857,2007,3,"VAR"
"748","Mastomäki Ville-Veikko",697,2858.5,2007,3,"VAR"
"749","Saario Mari",630,2540.889,2007,3,"VAR"
"750","Terävä Sini",605,2286.8,2007,3,"VAR"
"751","Heikkilä Teppo",479,2078.909,2007,3,"VAR"
"752","Suutari Anneli",437,1905.667,2007,3,"VAR"
"753","Ollikkala Tuija",391,1759.077,2007,3,"VAR"
"754","Saarinen Kaisa",342,1633.429,2007,3,"VAR"
"755","Kumpuvuori Jukka",336,1524.533,2007,3,"VAR"
"756","Kanerva Jarkko",321,1429.25,2007,3,"VAR"
"757","Lehtimäki Urpo",122,1345.176,2007,3,"VAR"
"758",NA,NA,NA,2007,3,"VAR"
"759","KD",NA,NA,2007,3,"VAR"
"760","Essayah Sari",7734,11377,2007,3,"VAR"
"761","Eeva Raija",677,5688.5,2007,3,"VAR"
"762","Seivästö Ismo",555,3792.333,2007,3,"VAR"
"763","Auvinen Ville",389,2844.25,2007,3,"VAR"
"764","Heinonen Risto",373,2275.4,2007,3,"VAR"
"765","Rawstorne Meri",266,1896.167,2007,3,"VAR"
"766","Shelby Jaana",178,1625.286,2007,3,"VAR"
"767","Toivonen Toni",163,1422.125,2007,3,"VAR"
"768","Karimeri-Essén Pirkko",141,1264.111,2007,3,"VAR"
"769","Perttula Samuli",139,1137.7,2007,3,"VAR"
"770","Lindberg Väinö",130,1034.273,2007,3,"VAR"
"771","Järvelä Jari",121,948.083,2007,3,"VAR"
"772","Paavonperä Anja",119,875.154,2007,3,"VAR"
"773","Jaakola Timo",115,812.643,2007,3,"VAR"
"774","Lamberg Kari",100,758.467,2007,3,"VAR"
"775","Arasto Heikki",89,711.063,2007,3,"VAR"
"776","Fältberg Katri",88,669.235,2007,3,"VAR"
"777",NA,NA,NA,2007,3,"VAR"
"778","RKP - SFP",NA,NA,2007,3,"VAR"
"779","*Wallin Stefan",12097,51979,2007,3,"VAR"
"780","Pirttimaa Anniina",736,3712.786,2007,3,"VAR"
"781","Rinne Tarja",536,3248.688,2007,3,"VAR"
"782",NA,NA,NA,2007,3,"VAR"
"783","PS - SAF",NA,NA,2007,3,"VAR"
"784","Elomaa Ritva (Kike)",1847,6168,2007,3,"VAR"
"785","Heikkilä Lauri",752,3084,2007,3,"VAR"
"786","Alinen Pentti",389,2056,2007,3,"VAR"
"787","Peltokorpi Sirke",279,1542,2007,3,"VAR"
"788","Nummi Veijo",276,1233.6,2007,3,"VAR"
"789","Satopää Kalevi",255,1028,2007,3,"VAR"
"790","Eskola Päivi",251,881.143,2007,3,"VAR"
"791","Heikkilä Arvo",235,771,2007,3,"VAR"
"792","Räisänen Mikko",225,685.333,2007,3,"VAR"
"793","Vuorio Manu",225,616.8,2007,3,"VAR"
"794","Antikainen Ari",224,560.727,2007,3,"VAR"
"795","Laihinen Timo J.",222,514,2007,3,"VAR"
"796","Louhi Janne",220,474.462,2007,3,"VAR"
"797","Peltomaa Iiris",216,440.571,2007,3,"VAR"
"798","Auranen Jukka",200,411.2,2007,3,"VAR"
"799","Sjöman Kyösti",188,385.5,2007,3,"VAR"
"800","Hannula Juhani",164,362.824,2007,3,"VAR"
"801",NA,NA,NA,2007,3,"VAR"
"802","SKP - FKP",NA,NA,2007,3,"VAR"
"803","Kiessling Kaija",254,916,2007,3,"VAR"
"804","Haverinen Pertti",161,458,2007,3,"VAR"
"805","Kantola Camilla",91,305.333,2007,3,"VAR"
"806","Laine Joonas",91,229,2007,3,"VAR"
"807","Hongisto Markku",57,183.2,2007,3,"VAR"
"808","Leppänen Martti",50,152.667,2007,3,"VAR"
"809","Lundgren Pekka",39,130.857,2007,3,"VAR"
"810","Kemppainen Esa",35,114.5,2007,3,"VAR"
"811","Oja Tatu",32,101.778,2007,3,"VAR"
"812","Siirtola Satu",31,91.6,2007,3,"VAR"
"813","Huotari Hilkka",23,83.273,2007,3,"VAR"
"814","Rytkö Arja",20,76.333,2007,3,"VAR"
"815","Lähteinen Sari",16,70.462,2007,3,"VAR"
"816","Rantomaa Joni",16,65.429,2007,3,"VAR"
"817",NA,NA,NA,2007,3,"VAR"
"818","SSP",NA,NA,2007,3,"VAR"
"819","Mikkonen Urmas",170,258,2007,3,"VAR"
"820","Sid Heidi",74,129,2007,3,"VAR"
"821","Czitrom Béla",14,86,2007,3,"VAR"
"822",NA,NA,NA,2007,3,"VAR"
"823","IP",NA,NA,2007,3,"VAR"
"824","Honkasalo Teppo",50,262,2007,3,"VAR"
"825","Hyttinen Marjatta",45,131,2007,3,"VAR"
"826","Laakso Jouko",42,87.333,2007,3,"VAR"
"827","Österberg Stig",40,65.5,2007,3,"VAR"
"828","Laaksonen Henrik",39,52.4,2007,3,"VAR"
"829","Turunen Teuvo",27,43.667,2007,3,"VAR"
"830","Aaltonen Tauno",19,37.429,2007,3,"VAR"
"831",NA,NA,NA,2007,3,"VAR"
"832","SKS",NA,NA,2007,3,"VAR"
"833","Mäenpää Olavi",2809,3074,2007,3,"VAR"
"834","Heinonen Jarno",76,1537,2007,3,"VAR"
"835","Jansson Markus",31,1024.667,2007,3,"VAR"
"836","Peräalho Jouni",23,768.5,2007,3,"VAR"
"837","Taberman Esa",21,614.8,2007,3,"VAR"
"838","Tallqvist Pauli",21,512.333,2007,3,"VAR"
"839","Aaltonen Kari",20,439.143,2007,3,"VAR"
"840","Matikka Kristiina",19,384.25,2007,3,"VAR"
"841","Mäkinen Samu",19,341.556,2007,3,"VAR"
"842","Huttunen Hans",16,307.4,2007,3,"VAR"
"843","Nieminen Kari",11,279.455,2007,3,"VAR"
"844","Meriharju Paul",8,256.167,2007,3,"VAR"
"845",NA,NA,NA,2007,3,"VAR"
"846","LIB",NA,NA,2007,3,"VAR"
"847","Mäkirinne Riku",239,297,2007,3,"VAR"
"848","Laakso Jussi",58,148.5,2007,3,"VAR"
"849",NA,NA,NA,2007,3,"VAR"
"850","KTP - KAP",NA,NA,2007,3,"VAR"
"851","Suominen Voitto Kalevi",50,135,2007,3,"VAR"
"852","Tiittanen Lassi",49,67.5,2007,3,"VAR"
"853","Sietsalo Albert Tapani",36,45,2007,3,"VAR"
"854",NA,NA,NA,2007,3,"VAR"
"855","STP - FAP",NA,NA,2007,3,"VAR"
"856","Huhtala Jaakko",60,109,2007,3,"VAR"
"857","Luukkonen Anne",19,54.5,2007,3,"VAR"
"858","Salomaa Esa",16,36.333,2007,3,"VAR"
"859","Luukkonen Esko",14,27.25,2007,3,"VAR"
"860",NA,NA,NA,2007,3,"VAR"
"861","SIK",NA,NA,2007,3,"VAR"
"862","Tuulonen Mika",112,112,2007,3,"VAR"
"863",NA,NA,NA,2007,3,"VAR"
"864","MUUT EI PUOLUEET - ÖVRIGA - OTHERS",NA,NA,2007,3,"VAR"
"865","Viitanen Tomi",145,499,2007,3,"VAR"
"866","Väyrynen Marja-Leena",134,249.5,2007,3,"VAR"
"867","Rantanen Rauno",112,166.333,2007,3,"VAR"
"868","Wallenius Katja",108,124.75,2007,3,"VAR"
"869",NA,NA,NA,2007,3,"VAR"
"870",NA,NA,NA,2007,3,"VAR"
"871","SATAKUNTA",NA,NA,2007,4,"SAT"
"872",NA,NA,NA,2007,4,"SAT"
"873","KESK - CENT",NA,NA,2007,4,"SAT"
"874","*Kalli Timo",5836,30377,2007,4,"SAT"
"875","*Kaltiokumpu Oiva",5611,15188.5,2007,4,"SAT"
"876","*Korkeaoja Juha",5316,10125.667,2007,4,"SAT"
"877","Juhantalo Kauko",5054,7594.25,2007,4,"SAT"
"878","Suominen Markku",1581,6075.4,2007,4,"SAT"
"879","Uusihonko Hannu",1059,5062.833,2007,4,"SAT"
"880","Laurén Hanna",1027,4339.571,2007,4,"SAT"
"881","Siitonen Heljä",990,3797.125,2007,4,"SAT"
"882","Huovinlahti Kim",982,3375.222,2007,4,"SAT"
"883","Palomäki Lea",697,3037.7,2007,4,"SAT"
"884","Tietari Satu",681,2761.545,2007,4,"SAT"
"885","Manner Sirkka-Maria",665,2531.417,2007,4,"SAT"
"886","Kilpi Helena",488,2336.692,2007,4,"SAT"
"887","Ståhlström Piritta",390,2169.786,2007,4,"SAT"
"888",NA,NA,NA,2007,4,"SAT"
"889","KOK - SAML",NA,NA,2007,4,"SAT"
"890","*Kataja Sampsa",8463,26395,2007,4,"SAT"
"891","*Holmlund Anne",3896,13197.5,2007,4,"SAT"
"892","Tuori Jukka",2350,8798.333,2007,4,"SAT"
"893","Santala Jyrki",2143,6598.75,2007,4,"SAT"
"894","Lehtimäki Jouni",1418,5279,2007,4,"SAT"
"895","Kaski Bia",1281,4399.167,2007,4,"SAT"
"896","Kaartinen Marjatta",1233,3770.714,2007,4,"SAT"
"897","Hiltunen Leea",1121,3299.375,2007,4,"SAT"
"898","Suvanto Mari",1032,2932.778,2007,4,"SAT"
"899","Heijari Eerik",911,2639.5,2007,4,"SAT"
"900","Koivumäki Pertti",749,2399.545,2007,4,"SAT"
"901","Lahti Arto",681,2199.583,2007,4,"SAT"
"902","Suominen Anne",651,2030.385,2007,4,"SAT"
"903","Heino Simo",466,1885.357,2007,4,"SAT"
"904",NA,NA,NA,2007,4,"SAT"
"905","SDP",NA,NA,2007,4,"SAT"
"906","*Kiuru Krista",5560,36232,2007,4,"SAT"
"907","*Kallio Reijo",5400,18116,2007,4,"SAT"
"908","*Vuolanne Antti",5182,12077.333,2007,4,"SAT"
"909","Eskanen Heli",4416,9058,2007,4,"SAT"
"910","Lehtonen Harri",3332,7246.4,2007,4,"SAT"
"911","Salonen Kristiina",3152,6038.667,2007,4,"SAT"
"912","Autio Johanna",2724,5176,2007,4,"SAT"
"913","Vesivalo Rauno",1400,4529,2007,4,"SAT"
"914","Ruoho Ari",1300,4025.778,2007,4,"SAT"
"915","Heljakka Helena",1001,3623.2,2007,4,"SAT"
"916","Anttila Esa J.",873,3293.818,2007,4,"SAT"
"917","Salomaa Ilona",843,3019.333,2007,4,"SAT"
"918","Kantonen Mika",758,2787.077,2007,4,"SAT"
"919","Sulameri Toni",291,2588,2007,4,"SAT"
"920",NA,NA,NA,2007,4,"SAT"
"921","VAS - VÄNST - LEFT",NA,NA,2007,4,"SAT"
"922","*Puhjo Veijo",3271,14815,2007,4,"SAT"
"923","Nummelin Aki",2285,7407.5,2007,4,"SAT"
"924","Hirvonen Reijo",2072,4938.333,2007,4,"SAT"
"925","Sandberg Juha",1939,3703.75,2007,4,"SAT"
"926","Ruponen Susanna",866,2963,2007,4,"SAT"
